統計期,行業別,設立登記家數[家],歇業登記家數[家],現有家數[家]
96年底,總計,4893,4409,55006
96年底,農林漁牧業,5,5,328
96年底,礦業及土石採取業,0,0,0
96年底,製造業,35,14,219
96年底,電力及燃氣供應業,1,0,16
96年底,用水供應及污染整治業,22,2,62
96年底,營建工程業,215,67,1754
96年底,批發及零售業,2611,3337,30979
96年底,運輸及倉儲業,8,101,7579
96年底,住宿及餐飲業,1113,536,6004
96年底,出版影音及資通訊業,108,39,357
96年底,金融及保險業,10,6,188
96年底,不動產業,17,8,130
96年底,專業、科學及技術服務業,185,65,1483
96年底,支援服務業,115,39,406
96年底,公共行政及國防；強制性社會安全,0,0,0
96年底,教育業,5,3,13
96年底,醫療保健及社會工作服務業,0,0,2
96年底,藝術、娛樂及休閒服務業,96,58,1247
96年底,其他服務業,347,129,4239
97年底,總計,4898,3773,53933
97年底,農林漁牧業,13,12,336
97年底,礦業及土石採取業,1,0,2
97年底,製造業,39,17,243
97年底,電力及燃氣供應業,0,1,14
97年底,用水供應及污染整治業,44,3,106
97年底,營建工程業,240,130,1814
97年底,批發及零售業,2472,2479,29944
97年底,運輸及倉儲業,13,260,7708
97年底,住宿及餐飲業,924,490,5674
97年底,出版影音及資通訊業,97,43,409
97年底,金融及保險業,17,13,192
97年底,不動產業,19,6,119
97年底,專業、科學及技術服務業,221,92,1432
97年底,支援服務業,205,75,530
97年底,公共行政及國防；強制性社會安全,0,0,0
97年底,教育業,2,4,12
97年底,醫療保健及社會工作服務業,0,0,1
97年底,藝術、娛樂及休閒服務業,234,33,1329
97年底,其他服務業,357,115,4068
98年底,總計,5542,4411,55225
98年底,農林漁牧業,9,17,309
98年底,礦業及土石採取業,0,0,2
98年底,製造業,66,25,284
98年底,電力及燃氣供應業,0,1,11
98年底,用水供應及污染整治業,15,28,98
98年底,營建工程業,209,165,1869
98年底,批發及零售業,2575,2783,30212
98年底,運輸及倉儲業,12,191,7329
98年底,住宿及餐飲業,1584,604,6601
98年底,出版影音及資通訊業,90,73,484
98年底,金融及保險業,9,13,223
98年底,不動產業,27,11,130
98年底,專業、科學及技術服務業,243,147,1502
98年底,支援服務業,129,73,626
98年底,公共行政及國防；強制性社會安全,0,0,0
98年底,教育業,5,3,14
98年底,醫療保健及社會工作服務業,0,0,1
98年底,藝術、娛樂及休閒服務業,128,51,1378
98年底,其他服務業,441,226,4152
99年底,總計,5216,6516,54120
99年底,農林漁牧業,10,11,209
99年底,礦業及土石採取業,1,0,4
99年底,製造業,62,35,318
99年底,電力及燃氣供應業,0,1,9
99年底,用水供應及污染整治業,8,8,109
99年底,營建工程業,219,243,1785
99年底,批發及零售業,2408,3856,29653
99年底,運輸及倉儲業,10,111,7111
99年底,住宿及餐飲業,1485,1366,6672
99年底,出版影音及資通訊業,77,124,583
99年底,金融及保險業,7,15,242
99年底,不動產業,33,16,134
99年底,專業、科學及技術服務業,208,215,1474
99年底,支援服務業,126,126,794
99年底,公共行政及國防；強制性社會安全,0,0,0
99年底,教育業,7,3,20
99年底,醫療保健及社會工作服務業,0,0,1
99年底,藝術、娛樂及休閒服務業,126,99,1350
99年底,其他服務業,429,287,3652
100年底,總計,5651,5998,53781
100年底,農林漁牧業,10,5,193
100年底,礦業及土石採取業,2,0,6
100年底,製造業,71,38,358
100年底,電力及燃氣供應業,0,2,6
100年底,用水供應及污染整治業,5,6,108
100年底,營建工程業,218,193,1812
100年底,批發及零售業,2736,2822,29277
100年底,運輸及倉儲業,6,1025,5866
100年底,住宿及餐飲業,1444,1099,7242
100年底,出版影音及資通訊業,106,84,675
100年底,金融及保險業,6,20,272
100年底,不動產業,27,29,121
100年底,專業、科學及技術服務業,203,157,1513
100年底,支援服務業,129,158,849
100年底,公共行政及國防；強制性社會安全,0,0,0
100年底,教育業,5,11,16
100年底,醫療保健及社會工作服務業,0,0,0
100年底,藝術、娛樂及休閒服務業,129,93,1459
100年底,其他服務業,554,256,4008
101年底,總計,4929,4965,53763
101年底,農林漁牧業,13,8,176
101年底,礦業及土石採取業,1,1,6
101年底,製造業,60,33,393
101年底,電力及燃氣供應業,0,0,5
101年底,用水供應及污染整治業,6,2,113
101年底,營建工程業,221,184,1863
101年底,批發及零售業,2221,2606,28733
101年底,運輸及倉儲業,8,244,5520
101年底,住宿及餐飲業,1265,1091,7500
101年底,出版影音及資通訊業,95,94,702
101年底,金融及保險業,19,24,293
101年底,不動產業,37,11,147
101年底,專業、科學及技術服務業,161,160,1513
101年底,支援服務業,199,107,970
101年底,公共行政及國防；強制性社會安全,0,0,0
101年底,教育業,10,6,20
101年底,醫療保健及社會工作服務業,0,0,0
101年底,藝術、娛樂及休閒服務業,135,105,1526
101年底,其他服務業,478,289,4283
102年底,總計,6017,4418,55382
102年底,農林漁牧業,14,13,176
102年底,礦業及土石採取業,1,1,6
102年底,製造業,69,27,438
102年底,電力及燃氣供應業,0,1,4
102年底,用水供應及污染整治業,10,8,117
102年底,營建工程業,235,191,1916
102年底,批發及零售業,2271,2291,28740
102年底,運輸及倉儲業,7,21,5495
102年底,住宿及餐飲業,1293,1020,7754
102年底,出版影音及資通訊業,90,80,715
102年底,金融及保險業,40,19,333
102年底,不動產業,48,17,180
102年底,專業、科學及技術服務業,227,173,1555
102年底,支援服務業,226,137,1066
102年底,公共行政及國防；強制性社會安全,0,0,0
102年底,教育業,8,3,26
102年底,醫療保健及社會工作服務業,0,0,0
102年底,藝術、娛樂及休閒服務業,1074,121,2493
102年底,其他服務業,404,295,4368
103年底,總計,4820,4607,55587
103年底,農林漁牧業,18,7,186
103年底,礦業及土石採取業,0,1,4
103年底,製造業,84,46,481
103年底,電力及燃氣供應業,1,0,5
103年底,用水供應及污染整治業,10,7,119
103年底,營建工程業,233,174,1973
103年底,批發及零售業,2255,2143,28869
103年底,運輸及倉儲業,5,19,5461
103年底,住宿及餐飲業,1154,942,7952
103年底,出版影音及資通訊業,78,72,725
103年底,金融及保險業,23,25,362
103年底,不動產業,38,15,203
103年底,專業、科學及技術服務業,202,119,1624
103年底,支援服務業,173,120,1109
103年底,公共行政及國防；強制性社會安全,0,0,0
103年底,教育業,12,6,32
103年底,醫療保健及社會工作服務業,0,0,0
103年底,藝術、娛樂及休閒服務業,107,643,1960
103年底,其他服務業,427,268,4522
104年底,總計,4833,4290,56134
104年底,農林漁牧業,9,10,183
104年底,礦業及土石採取業,0,0,4
104年底,製造業,83,39,525
104年底,電力及燃氣供應業,0,0,5
104年底,用水供應及污染整治業,4,6,118
104年底,營建工程業,210,136,2054
104年底,批發及零售業,2216,2203,28874
104年底,運輸及倉儲業,13,22,5342
104年底,住宿及餐飲業,1238,941,8240
104年底,出版影音及資通訊業,69,80,718
104年底,金融及保險業,9,116,365
104年底,不動產業,28,15,213
104年底,專業、科學及技術服務業,179,129,1659
104年底,支援服務業,164,122,1155
104年底,公共行政及國防；強制性社會安全,0,0,0
104年底,教育業,12,9,35
104年底,醫療保健及社會工作服務業,0,0,0
104年底,藝術、娛樂及休閒服務業,181,152,1998
104年底,其他服務業,418,310,4646
105年底,總計,4582,4297,56430
105年底,農林漁牧業,14,8,192
105年底,礦業及土石採取業,0,1,3
105年底,製造業,90,63,555
105年底,電力及燃氣供應業,2,0,7
105年底,用水供應及污染整治業,3,5,117
105年底,營建工程業,224,180,2099
105年底,批發及零售業,2181,2287,28789
105年底,運輸及倉儲業,5,16,5319
105年底,住宿及餐飲業,1126,946,8400
105年底,出版影音及資通訊業,58,78,697
105年底,金融及保險業,7,18,372
105年底,不動產業,19,20,214
105年底,專業、科學及技術服務業,186,144,1688
105年底,支援服務業,147,120,1178
105年底,公共行政及國防；強制性社會安全,0,0,0
105年底,教育業,16,10,41
105年底,醫療保健及社會工作服務業,0,0,0
105年底,藝術、娛樂及休閒服務業,106,110,1995
105年底,其他服務業,398,291,4764
106年底,總計,4869,4276,57036
106年底,農林漁牧業,21,16,198
106年底,礦業及土石採取業,1,0,4
106年底,製造業,96,48,609
106年底,電力及燃氣供應業,0,1,6
106年底,用水供應及污染整治業,4,9,112
106年底,營建工程業,213,176,2144
106年底,批發及零售業,2349,2266,28886
106年底,運輸及倉儲業,4,9,5300
106年底,住宿及餐飲業,1187,915,8676
106年底,出版影音及資通訊業,72,73,699
106年底,金融及保險業,13,20,380
106年底,不動產業,18,18,212
106年底,專業、科學及技術服務業,210,155,1734
106年底,支援服務業,163,109,1235
106年底,公共行政及國防；強制性社會安全,0,0,0
106年底,教育業,25,12,55
106年底,醫療保健及社會工作服務業,0,0,0
106年底,藝術、娛樂及休閒服務業,130,149,1977
106年底,其他服務業,363,300,4809
107年底,總計,5203,4249,58004
107年底,農林漁牧業,22,14,202
107年底,礦業及土石採取業,1,1,4
107年底,製造業,104,72,636
107年底,電力及燃氣供應業,1,2,5
107年底,用水供應及污染整治業,7,6,115
107年底,營建工程業,214,175,2180
107年底,批發及零售業,2556,2203,29261
107年底,運輸及倉儲業,11,16,5285
107年底,住宿及餐飲業,1189,959,8900
107年底,出版影音及資通訊業,91,61,735
107年底,金融及保險業,23,23,395
107年底,不動產業,28,26,209
107年底,專業、科學及技術服務業,196,139,1789
107年底,支援服務業,161,116,1284
107年底,公共行政及國防；強制性社會安全,0,0,0
107年底,教育業,31,9,77
107年底,醫療保健及社會工作服務業,0,0,0
107年底,藝術、娛樂及休閒服務業,154,135,1994
107年底,其他服務業,414,292,4933
108年底,總計,5311,4435,58889
108年底,農林漁牧業,15,16,193
108年底,礦業及土石採取業,1,0,5
108年底,製造業,101,69,672
108年底,電力及燃氣供應業,0,1,4
108年底,用水供應及污染整治業,13,14,114
108年底,營建工程業,231,185,2227
108年底,批發及零售業,2476,2362,29383
108年底,運輸及倉儲業,14,12,5219
108年底,住宿及餐飲業,1295,958,9227
108年底,出版影音及資通訊業,84,70,752
108年底,金融及保險業,33,20,480
108年底,不動產業,32,18,222
108年底,專業、科學及技術服務業,253,158,1883
108年底,支援服務業,169,128,1330
108年底,公共行政及國防；強制性社會安全,0,0,0
108年底,教育業,30,17,93
108年底,醫療保健及社會工作服務業,0,0,0
108年底,藝術、娛樂及休閒服務業,170,133,2036
108年底,其他服務業,394,274,5049
109年底,總計,5042,4548,59401
109年底,農林漁牧業,12,16,187
109年底,礦業及土石採取業,1,0,6
109年底,製造業,110,75,701
109年底,電力及燃氣供應業,1,1,4
109年底,用水供應及污染整治業,10,7,117
109年底,營建工程業,181,189,2220
109年底,批發及零售業,2170,2346,29240
109年底,運輸及倉儲業,31,15,5207
109年底,住宿及餐飲業,1206,917,9505
109年底,出版影音及資通訊業,239,68,929
109年底,金融及保險業,22,115,423
109年底,不動產業,23,19,226
109年底,專業、科學及技術服務業,331,196,2005
109年底,支援服務業,118,127,1324
109年底,公共行政及國防；強制性社會安全,0,0,0
109年底,教育業,46,12,128
109年底,醫療保健及社會工作服務業,0,0,0
109年底,藝術、娛樂及休閒服務業,172,154,2060
109年底,其他服務業,369,291,5119
110年底,總計,5367,4648,60139
110年底,農林漁牧業,10,6,189
110年底,礦業及土石採取業,2,2,6
110年底,製造業,127,86,754
110年底,電力及燃氣供應業,3,1,6
110年底,用水供應及污染整治業,6,4,118
110年底,營建工程業,187,174,2239
110年底,批發及零售業,2494,2290,29451
110年底,運輸及倉儲業,8,21,5177
110年底,住宿及餐飲業,1189,1038,9658
110年底,出版影音及資通訊業,337,180,1085
110年底,金融及保險業,22,41,425
110年底,不動產業,14,20,219
110年底,專業、科學及技術服務業,320,192,2136
110年底,支援服務業,121,127,1318
110年底,公共行政及國防；強制性社會安全,0,0,0
110年底,教育業,35,21,146
110年底,醫療保健及社會工作服務業,0,0,0
110年底,藝術、娛樂及休閒服務業,160,134,2086
110年底,其他服務業,332,311,5126
111年底,總計,4663,4368,60435
111年底,農林漁牧業,13,18,183
111年底,礦業及土石採取業,1,1,6
111年底,製造業,121,103,773
111年底,電力及燃氣供應業,1,0,7
111年底,用水供應及污染整治業,10,14,117
111年底,營建工程業,208,163,2289
111年底,批發及零售業,2272,2213,29504
111年底,運輸及倉儲業,7,18,5138
111年底,住宿及餐飲業,1094,952,9802
111年底,出版影音及資通訊業,90,111,1063
111年底,金融及保險業,20,41,430
111年底,不動產業,24,18,225
111年底,專業、科學及技術服務業,190,164,2158
111年底,支援服務業,115,104,1328
111年底,公共行政及國防；強制性社會安全,0,0,0
111年底,教育業,43,11,179
111年底,醫療保健及社會工作服務業,0,0,0
111年底,藝術、娛樂及休閒服務業,95,136,2046
111年底,其他服務業,359,301,5187
112年底,總計,6018,4224,62242
112年底,農林漁牧業,10,9,184
112年底,礦業及土石採取業,2,1,7
112年底,製造業,74,77,769
112年底,電力及燃氣供應業,1,0,8
112年底,用水供應及污染整治業,5,7,116
112年底,營建工程業,253,165,2379
112年底,批發及零售業,2743,2228,30032
112年底,運輸及倉儲業,6,13,5109
112年底,住宿及餐飲業,1037,921,9915
112年底,出版影音及資通訊業,94,82,1073
112年底,金融及保險業,20,26,444
112年底,不動產業,21,12,232
112年底,專業、科學及技術服務業,222,165,2217
112年底,支援服務業,124,95,1365
112年底,公共行政及國防；強制性社會安全,0,0,0
112年底,教育業,37,17,201
112年底,醫療保健及社會工作服務業,0,0,0
112年底,藝術、娛樂及休閒服務業,994,145,2894
112年底,其他服務業,375,261,5297
113年底,總計,4552,4710,62005
113年底,農林漁牧業,16,14,187
113年底,礦業及土石採取業,0,0,7
113年底,製造業,94,67,791
113年底,電力及燃氣供應業,2,1,9
113年底,用水供應及污染整治業,3,2,117
113年底,營建工程業,251,206,2421
113年底,批發及零售業,2172,2163,30008
113年底,運輸及倉儲業,5,14,5043
113年底,住宿及餐飲業,969,916,9936
113年底,出版影音及資通訊業,67,88,1052
113年底,金融及保險業,25,66,460
113年底,不動產業,18,21,230
113年底,專業、科學及技術服務業,203,188,2233
113年底,支援服務業,110,102,1375
113年底,公共行政及國防；強制性社會安全,0,0,0
113年底,教育業,50,10,243
113年底,醫療保健及社會工作服務業,0,0,0
113年底,藝術、娛樂及休閒服務業,196,564,2517
113年底,其他服務業,371,288,5376
114年底,總計,4418,4292,62141
114年底,農林漁牧業,10,16,178
114年底,礦業及土石採取業,1,2,6
114年底,製造業,112,69,837
114年底,電力及燃氣供應業,0,2,7
114年底,用水供應及污染整治業,11,12,117
114年底,營建工程業,271,169,2528
114年底,批發及零售業,1920,2189,29752
114年底,運輸及倉儲業,4,18,4984
114年底,住宿及餐飲業,1006,919,10015
114年底,出版影音及資通訊業,97,75,1075
114年底,金融及保險業,33,77,470
114年底,不動產業,24,22,232
114年底,專業、科學及技術服務業,242,189,2276
114年底,支援服務業,123,94,1413
114年底,公共行政及國防；強制性社會安全,0,0,0
114年底,教育業,39,30,254
114年底,醫療保健及社會工作服務業,0,0,0
114年底,藝術、娛樂及休閒服務業,142,162,2499
114年底,其他服務業,383,247,5498
